run_id,process_name,run_start,run_end,status,rows_loaded,message
1,manual_test,"2026-03-19 15:50:56","2026-03-19 15:50:56",SUCCESS,10,"Test log row"
2,sp_refresh_shop_analytics,"2026-03-19 15:56:45","2026-03-19 15:56:45",SUCCESS,25,"Manual test row"
3,sp_refresh_shop_analytics,"2026-03-19 15:56:50","2026-03-19 15:56:50",SUCCESS,12,"ETL refresh completed successfully"
4,sp_refresh_shop_analytics,"2026-03-19 16:06:50","2026-03-19 16:06:50",SUCCESS,12,"ETL refresh completed successfully"
5,sp_refresh_shop_analytics,"2026-03-19 16:16:50","2026-03-19 16:16:50",SUCCESS,12,"ETL refresh completed successfully"
6,sp_refresh_shop_analytics,"2026-03-19 16:18:43","2026-03-19 16:18:44",SUCCESS,12,"ETL refresh completed successfully"
7,sp_refresh_shop_analytics,"2026-03-19 16:18:46","2026-03-19 16:18:46",SUCCESS,12,"ETL refresh completed successfully"
8,sp_refresh_shop_analytics,"2026-03-19 16:22:15","2026-03-19 16:22:15",SUCCESS,12,"ETL refresh completed successfully"
9,sp_refresh_shop_analytics,"2026-03-19 16:26:50","2026-03-19 16:26:50",SUCCESS,12,"ETL refresh completed successfully"
10,sp_refresh_shop_analytics,"2026-03-19 16:29:03","2026-03-19 16:29:03",SUCCESS,12,"ETL refresh completed successfully"
11,sp_refresh_shop_analytics,"2026-03-19 16:36:50","2026-03-19 16:36:50",SUCCESS,12,"ETL refresh completed successfully"
12,sp_refresh_shop_analytics,"2026-03-19 16:46:50","2026-03-19 16:46:50",SUCCESS,12,"ETL refresh completed successfully"
13,sp_refresh_shop_analytics,"2026-03-19 16:56:50","2026-03-19 16:56:50",SUCCESS,12,"ETL refresh completed successfully"
14,sp_refresh_shop_analytics,"2026-03-19 17:06:50","2026-03-19 17:06:50",SUCCESS,12,"ETL refresh completed successfully"
15,sp_refresh_shop_analytics,"2026-03-19 17:16:50","2026-03-19 17:16:50",SUCCESS,12,"ETL refresh completed successfully"
16,sp_refresh_shop_analytics,"2026-03-19 17:26:50","2026-03-19 17:26:50",SUCCESS,12,"ETL refresh completed successfully"
17,sp_refresh_shop_analytics,"2026-03-19 17:36:50","2026-03-19 17:36:50",SUCCESS,12,"ETL refresh completed successfully"
18,sp_refresh_shop_analytics,"2026-03-19 17:46:50","2026-03-19 17:46:50",SUCCESS,12,"ETL refresh completed successfully"
19,sp_refresh_shop_analytics,"2026-03-19 17:56:50","2026-03-19 17:56:51",SUCCESS,12,"ETL refresh completed successfully"
20,sp_refresh_shop_analytics,"2026-03-19 18:06:50","2026-03-19 18:06:50",SUCCESS,12,"ETL refresh completed successfully"
21,sp_refresh_shop_analytics,"2026-03-19 18:16:50","2026-03-19 18:16:50",SUCCESS,12,"ETL refresh completed successfully"
