table_name,column_name,data_type
stg_categories,category_id,INT64
stg_categories,category_name,STRING
stg_categories,created_at,TIMESTAMP
stg_customer_addresses,address_id,INT64
stg_customer_addresses,customer_id,INT64
stg_customer_addresses,address_type,STRING
stg_customer_addresses,address_line1,STRING
stg_customer_addresses,address_line2,STRING
stg_customer_addresses,postal_code,STRING
stg_customer_addresses,city,STRING
stg_customer_addresses,country,STRING
stg_customer_addresses,created_at,TIMESTAMP
stg_customers,customer_id,INT64
stg_customers,first_name,STRING
stg_customers,last_name,STRING
stg_customers,email,STRING
stg_customers,phone,STRING
stg_customers,country,STRING
stg_customers,city,STRING
stg_customers,signup_date,TIMESTAMP
stg_order_items,order_item_id,INT64
stg_order_items,order_id,INT64
stg_order_items,product_id,INT64
stg_order_items,quantity,INT64
stg_order_items,unit_price,FLOAT64
stg_order_items,line_total,FLOAT64
stg_orders,order_id,INT64
stg_orders,customer_id,INT64
stg_orders,order_date,TIMESTAMP
stg_orders,order_status,STRING
stg_orders,order_total,FLOAT64
stg_payments,payment_id,INT64
stg_payments,order_id,INT64
stg_payments,payment_date,TIMESTAMP
stg_payments,payment_method,STRING
stg_payments,payment_status,STRING
stg_payments,amount,FLOAT64
stg_products,product_id,INT64
stg_products,category_id,INT64
stg_products,product_name,STRING
stg_products,sku,STRING
stg_products,unit_price,FLOAT64
stg_products,stock_quantity,INT64
stg_products,is_active,INT64
stg_products,created_at,TIMESTAMP
